epsilon,delta,success
0.001,0.001,N/A
0.001,0.01,N/A
0.001,0.05,N/A
0.001,0.15,Reject
0.001,0.3,Reject
0.01,0.001,Reject
0.01,0.01,Reject
0.01,0.05,Reject
0.01,0.15,Reject
0.01,0.3,Reject
0.05,0.001,Reject
0.05,0.01,Reject
0.05,0.05,Reject
0.05,0.15,Reject
0.05,0.3,Reject
0.1,0.001,Reject
0.1,0.01,Reject
0.1,0.05,Reject
0.1,0.15,Reject
0.1,0.3,Reject
0.15,0.001,Reject
0.15,0.01,Reject
0.15,0.05,Reject
0.15,0.15,Reject
0.15,0.3,Reject
