epsilon,delta,success
0.01,0.01,N/A
0.01,0.05,N/A
0.01,0.3,N/A
0.01,0.7,N/A
0.07,0.01,Reject
0.07,0.05,Reject
0.07,0.3,Reject
0.07,0.7,Reject
0.5,0.01,Reject
0.5,0.05,Reject
0.5,0.3,Reject
0.5,0.7,Accept
